HS CODE	DESCRIPTION  / KEYWORD
10290	Cricket
10290	Dolphin
10290	Hare
10290	Manatee
10290	Ostrich
10290	Parakeet
10290	Sea lion
10290	Seal
10290	Walrus
10290	Whale
10599	Fowl
10599	Poultry
21099	Beef
21099	Lamb
21099	Proceesed
21099	Sea lion
21099	Seal
21099	Sirloin tip
21099	Spare ribs
21099	Veal
21099	Walrus
30890	Blue whiting
30890	Cattle fish
30890	Crustacean
30890	Fish
30890	Fish head
30890	Fish meal
30890	Fish pellet
30890	Jellyfish
30890	Lingcod
30890	Molluscs
30890	Perch
30890	Sea urchin
30890	Seabream
30890	Shrimp
30890	Skipjack
40310	Buttermilk
40310	Curdled cream
40310	Curdled milk
40310	Kephir
40410	Cream cheese
40410	Feta
40900	Amber honey
40900	Dark honey
40900	Light honey
40900	Natural honey
40900	Natural honey
50100	Hooves
50400	Bladders
50400	Casings
60110	Araucarias
60110	Crown
60110	Daffodil
60110	Mushroom spawn
60110	Palms
60110	Plant
60110	Tree
60110	Tulip
60290	Cacti
60290	Palm
60311	Roses
60314	Chrysanthemums
60390	Lilly
60420	Christmas tree
60420	Keaf
60420	Leaves
70310	Bamboo shoots
70310	Bamboo shoots
70310	Brussel sprout
70310	Brussel sprout
70310	Cactus leaves
70310	Cactus leaves
70310	Caper
70310	Catjang pea
70310	Cilantro
70310	Kale
70310	Leaf chervil
70310	Mushroom
70310	Okra
70310	Salad beetroot
70310	Tomatillo
70310	Topedos
70410	Broccoli
70890	Chickpeas
71029	Dahl
71029	Peas
71080	Artichokes
71080	Broccoli
71080	Cardoons
71080	Jicama
71080	Tarragons
71080	Tree tomatoes
71080	Yen Sai
71290	Savory
80119	Almond
80119	Areca
80119	Brazil nut
80119	Grape
80119	Grapefruit
80119	Kiwi
80119	Mangosteen
80119	Melon
80119	Nuts
80119	Papayas
80119	Raspberries
80119	Tangerines
90111	Decaffeinated coffee
90411	Chili peppers
90411	Cinnamon tree flower
90411	Cloves
90411	Curry
90411	Juniper berries
90411	Nutmeg
90411	Pepper
90411	Thyme
90412	Anise
90412	Bay leaves
90412	Coriander
90412	Juniper berries
90412	Turmeric
100290	Buckwheat
100290	Canary seed
100290	Durum wheat
100290	Fonio
100290	Maize
100290	Meslin
110419	Barley
110419	Maize
110520	Potato
120190	Castor oil seeds
120190	Colza seed
120190	Linseed
120190	Poppy seed
120190	Safflower seed
120190	Seed
120190	Soya bean
120190	Soya bean
130190	Agar agar
130190	Pectic substances
130190	Pectinates
130190	Vegetable saps
140190	Broom corn
140190	Cereal straw
140190	Eel grass
140190	Lime bark
140190	Raffia
150190	Beeswax
150190	Cooking oil
150190	Cooking oil
150190	Fish liver oils
150190	Insect waxes
150190	Insect waxes
150300	Oleo oil
150300	Oleo stearin
150890	Corn oil
151550	Sesame oil
151610	Coconut oil
151610	Coconut oil
151610	Vegetable fat
151710	Margarine OAC
151710	Margarine WAC
151710	Margarine WAC
160100	Frankfurter
10290	Animal
10290	Bee
10290	Rabbit
10290	Sea lion
10290	Sheep
10290	Snake
10599	Geese
10599	Turkey
20311	Swine
20443	Mutton
20500	Asses
21099	Bison
21099	Brisket
21099	Chuck
21099	Dolphin
21099	Duck
21099	Flank
21099	Fowl
21099	Hare
21099	Inside round
21099	Manatee
21099	Outside round
21099	Porpoises
21099	Spare ribs
30290	Roes
30890	Carp
30890	Cobia
30890	Cod
30890	Eel
30890	Fish brine
30890	Fish brine
30890	Fish maw
30890	Fish pellet
30890	Fish tail
30890	Fish tail
30890	Monkfish
30890	Octopus
30890	Pollack
30890	Salted fish
30890	Sardine
30890	Sea cucumber
30890	Seabass
30890	Seafood
30890	Smoked fish
30890	Trout
30890	Tuna
40110	Dairy spread
40410	Blue cheese
40410	Cheddar
40410	Cheese
40410	Cream cheese
40410	Emmental
40410	Gouda
40410	Jarlberg
40410	Parmesan
40410	Powdered whey
40410	Processed cheese
40410	Provolone
40410	Swiss cheese
40410	Whey protein
40900	Amber honey
40900	Dark honey
50100	Bovine semen
50100	Semen
50590	Feathers
60110	Bulb
60110	Bush
60110	Cacti
60110	Corm
60110	Fruit tree
60110	Hyacinth
